call_id,rep_id,hcp_id,product_id,call_date,call_type,duration_min,samples_given
C000058,R001,H0288,P004,2026-03-24,F2F,31,6
C000059,R001,H0369,P001,2026-04-08,F2F,10,2
C000060,R001,H0479,P001,2025-11-13,Virtual,19,4
C000061,R001,H0015,P002,2026-03-31,F2F,27,3
C000062,R001,H0265,P005,2025-06-30,F2F,14,2
C000063,R001,H0046,P004,2025-09-29,F2F,24,3
C000064,R001,H0479,P001,2025-07-18,F2F,28,5
C000065,R001,H0303,P002,2025-12-15,F2F,7,1
C000066,R001,H0133,P003,2026-02-05,Virtual,23,8
C000067,R001,H0198,P003,2025-10-15,F2F,8,3
C000068,R001,H0270,P001,2025-07-07,F2F,19,0
C000069,R001,H0412,P004,2025-09-08,F2F,28,3
C000070,R001,H0242,P002,2025-10-24,F2F,22,0
C000071,R001,H0105,P003,2025-12-28,F2F,14,6
C000072,R001,H0216,P005,2025-07-09,F2F,16,6
C000073,R001,H0098,P003,2026-04-04,Virtual,25,5
C000074,R001,H0152,P001,2026-01-31,F2F,21,2
C000075,R001,H0412,P001,2025-05-02,F2F,14,7
C000076,R001,H0171,P004,2026-04-04,F2F,24,0
C000077,R001,H0242,P005,2025-06-04,F2F,24,0
C000078,R001,H0265,P004,2025-12-11,Virtual,22,3
C000079,R001,H0309,P004,2025-09-26,Virtual,31,5
C000080,R001,H0479,P003,2025-07-13,Virtual,18,4
C000081,R001,H0417,P002,2026-04-13,F2F,22,7
C000082,R001,H0108,P004,2025-10-24,F2F,30,8
C000083,R001,H0316,P004,2025-11-09,Virtual,29,8
C000084,R001,H0246,P004,2025-09-02,F2F,11,5
C000085,R001,H0479,P003,2025-08-06,F2F,13,6
C000086,R001,H0056,P003,2026-02-25,Virtual,20,3
C000087,R001,H0198,P002,2025-08-06,F2F,28,7
C000088,R001,H0268,P002,2025-10-12,F2F,17,7
C000089,R001,H0496,P005,2025-12-27,F2F,34,3
C000090,R001,H0224,P002,2025-09-11,F2F,14,2
C000091,R001,H0145,P001,2025-08-26,F2F,23,3
C000092,R001,H0108,P004,2025-10-28,Virtual,9,8
C000093,R001,H0487,P001,2025-05-18,F2F,35,0
C000094,R001,H0303,P001,2026-01-14,F2F,16,0
C000095,R001,H0496,P003,2026-02-07,F2F,5,0
C000096,R001,H0410,P004,2026-04-23,F2F,30,2
C000097,R001,H0444,P005,2025-06-19,Virtual,12,3
C000098,R001,H0010,P002,2025-11-24,F2F,23,3
C000099,R001,H0270,P004,2025-11-11,F2F,22,7
C000100,R001,H0198,P002,2025-05-05,Virtual,7,7
C000101,R001,H0242,P004,2025-06-08,F2F,33,8
C000102,R001,H0387,P005,2025-10-09,F2F,35,3
C000103,R001,H0153,P002,2025-07-23,Virtual,23,6
C000104,R001,H0444,P005,2025-10-25,F2F,8,6
C000105,R001,H0268,P003,2026-03-06,F2F,29,5
C000106,R001,H0145,P001,2025-09-17,F2F,20,3
C000107,R001,H0410,P001,2026-03-13,F2F,30,3
C000108,R001,H0412,P001,2025-07-18,F2F,27,2
C000109,R001,H0212,P005,2025-05-03,F2F,19,5
C000110,R001,H0085,P001,2025-06-14,Virtual,18,7
C000111,R001,H0062,P004,2025-06-15,F2F,22,1
C000112,R001,H0185,P003,2025-11-28,F2F,29,1
C000113,R001,H0265,P002,2025-07-25,F2F,13,6
C000114,R001,H0108,P004,2025-11-19,F2F,31,6
C000115,R001,H0010,P005,2025-10-12,Virtual,20,5
C000116,R001,H0252,P002,2025-11-20,F2F,14,7
C000117,R001,H0062,P005,2026-02-04,Virtual,26,8
C000118,R001,H0216,P001,2025-12-23,Virtual,19,4
C000119,R001,H0105,P002,2025-11-26,F2F,9,4
C000120,R001,H0444,P005,2026-03-03,F2F,23,6
C000121,R001,H0270,P003,2025-11-01,F2F,8,3
C000122,R001,H0370,P005,2026-03-27,F2F,35,5
C000123,R001,H0412,P002,2025-09-10,Virtual,21,8
C000124,R001,H0479,P003,2025-05-13,F2F,8,4
C000125,R001,H0491,P003,2025-07-12,F2F,14,5
C000126,R001,H0246,P001,2026-01-03,F2F,20,1
C000127,R001,H0412,P004,2025-10-23,F2F,26,2
C000128,R001,H0422,P005,2025-08-18,Virtual,13,1
C000129,R001,H0017,P001,2025-06-28,F2F,26,7
C000130,R001,H0265,P003,2025-07-08,F2F,8,3
C000131,R001,H0265,P005,2025-11-13,F2F,10,7
C000132,R001,H0224,P001,2025-10-09,F2F,24,0
C000133,R001,H0412,P005,2025-05-17,F2F,12,8
C000134,R001,H0361,P001,2025-09-12,F2F,32,1
C000135,R001,H0309,P001,2026-02-26,F2F,32,6
C000136,R001,H0316,P004,2025-08-14,Virtual,30,0
C000137,R001,H0153,P002,2025-09-19,Virtual,27,2
C000138,R001,H0309,P002,2026-01-19,F2F,27,5
C000139,R001,H0422,P002,2025-12-21,F2F,32,1
C000140,R001,H0493,P003,2026-01-04,F2F,33,0
C000141,R001,H0056,P005,2026-03-17,F2F,5,1
C000142,R001,H0356,P005,2025-12-20,F2F,35,6
C000143,R001,H0198,P005,2026-04-18,Virtual,33,4
C000144,R001,H0303,P003,2025-09-18,F2F,25,5
C000145,R001,H0479,P001,2025-11-07,Virtual,6,6
C000146,R001,H0292,P004,2025-06-18,F2F,11,7
C000147,R001,H0412,P004,2026-02-28,Virtual,21,7
C000148,R001,H0073,P003,2026-04-22,F2F,31,1
C000149,R001,H0242,P002,2025-06-06,Virtual,17,1
C000150,R001,H0056,P002,2025-10-08,F2F,33,4
C000151,R001,H0268,P001,2025-07-08,Virtual,7,8
C000152,R001,H0212,P001,2025-10-27,Virtual,25,2
C000153,R001,H0171,P002,2025-07-03,F2F,16,6
C000154,R001,H0270,P002,2025-09-19,F2F,12,8
C000155,R001,H0153,P005,2026-04-03,F2F,11,8
C000156,R001,H0496,P005,2025-11-17,F2F,25,0
C000157,R001,H0412,P005,2025-11-14,F2F,12,7
C000158,R001,H0491,P004,2025-05-07,F2F,34,5
C000159,R001,H0373,P002,2025-06-04,F2F,13,3
C000160,R001,H0212,P001,2025-05-31,F2F,21,4
C000161,R001,H0153,P002,2026-01-30,Virtual,13,1
C000162,R001,H0288,P003,2026-04-23,F2F,28,3
C000163,R001,H0444,P003,2025-06-14,F2F,8,7
C000164,R001,H0268,P001,2026-04-07,Virtual,8,0
C000165,R001,H0062,P001,2025-10-25,F2F,10,5
C000166,R001,H0185,P004,2025-09-15,F2F,29,0
C000167,R001,H0108,P001,2026-02-20,F2F,20,7
C000168,R001,H0108,P004,2026-02-15,Virtual,16,2
C000169,R001,H0246,P002,2025-06-22,F2F,12,8
C000170,R001,H0139,P003,2025-05-07,Virtual,6,7
C000171,R001,H0422,P003,2025-05-19,F2F,12,5
C000172,R001,H0017,P005,2025-08-23,F2F,35,6
C000173,R001,H0422,P002,2025-12-25,F2F,29,4
C000174,R001,H0046,P001,2025-08-11,F2F,23,4
C000175,R001,H0145,P001,2025-11-26,F2F,12,8
C000176,R001,H0145,P002,2026-04-02,F2F,32,4
C000177,R001,H0158,P004,2026-01-07,F2F,9,4
C000178,R001,H0171,P003,2025-08-27,F2F,27,5
C000179,R001,H0303,P004,2026-04-05,Virtual,12,4
C000180,R001,H0105,P001,2025-10-09,F2F,27,5
C000181,R001,H0387,P001,2025-08-12,Virtual,29,1
C000182,R001,H0139,P003,2025-07-24,F2F,19,5
C000183,R001,H0234,P002,2025-07-20,F2F,31,0
C000184,R001,H0412,P004,2025-10-15,Virtual,7,3
C000185,R001,H0098,P001,2025-10-01,F2F,31,2
C000186,R001,H0062,P002,2025-11-24,F2F,22,8
C000187,R001,H0496,P001,2025-08-22,Virtual,11,6
C000188,R001,H0108,P003,2025-06-08,F2F,7,3
C000189,R001,H0056,P002,2025-10-17,F2F,6,7
C000190,R001,H0010,P005,2026-02-18,F2F,31,6
C000191,R001,H0085,P004,2026-03-11,Virtual,25,4
C000192,R001,H0133,P001,2025-11-13,Virtual,18,3
C000193,R001,H0292,P005,2025-11-12,F2F,20,8
C000194,R001,H0270,P005,2026-03-02,Virtual,5,4
C000195,R001,H0056,P002,2025-12-28,F2F,29,3
C000196,R001,H0010,P001,2025-05-29,Virtual,23,6
C000197,R001,H0309,P003,2026-02-28,F2F,30,5
C000198,R001,H0246,P003,2026-04-24,F2F,35,2
C000199,R001,H0417,P003,2026-01-08,F2F,10,7
C000200,R001,H0496,P001,2025-05-29,Virtual,24,3
C000201,R001,H0133,P002,2025-12-31,F2F,15,3
C000202,R001,H0412,P005,2025-07-15,Virtual,29,1
C000203,R001,H0303,P004,2025-07-20,F2F,30,7
C000204,R001,H0185,P004,2025-10-05,F2F,9,2
C000205,R001,H0085,P001,2026-03-05,F2F,34,3
C000206,R001,H0158,P005,2026-01-10,Virtual,15,1
C000207,R001,H0158,P003,2025-06-15,F2F,19,0
C000208,R001,H0015,P004,2025-09-09,F2F,28,0
C000209,R001,H0242,P003,2025-12-11,F2F,10,6
C000210,R001,H0361,P003,2026-01-01,Virtual,10,7
C000211,R001,H0234,P001,2025-05-18,F2F,5,5
C000212,R001,H0017,P005,2025-10-23,Virtual,33,6
C000213,R001,H0292,P003,2025-06-17,F2F,24,7
C000214,R001,H0073,P002,2025-10-17,Virtual,11,6
C000215,R001,H0491,P004,2026-02-17,F2F,9,0
C000216,R001,H0252,P003,2025-05-14,Virtual,10,4
C000217,R001,H0158,P001,2026-03-25,F2F,10,5
C000218,R001,H0370,P001,2026-04-22,F2F,7,5
C000219,R001,H0171,P004,2025-11-15,F2F,35,8
C000220,R001,H0432,P003,2025-10-01,F2F,17,0
C000221,R001,H0246,P001,2025-12-16,Virtual,35,2
C000222,R001,H0270,P005,2025-12-03,F2F,26,6
C000223,R001,H0216,P004,2026-03-01,F2F,15,1
C000224,R001,H0171,P004,2026-02-09,F2F,22,5
C000225,R001,H0242,P001,2026-04-24,F2F,8,6
C000226,R001,H0316,P003,2026-02-15,F2F,34,1
C000227,R001,H0212,P005,2025-09-24,F2F,33,6
C000228,R001,H0017,P001,2025-11-23,Virtual,24,6
C000229,R001,H0387,P003,2025-10-17,Virtual,6,7
C000230,R001,H0309,P004,2025-10-03,F2F,13,7
C000231,R001,H0015,P002,2025-12-13,Virtual,34,6
C000232,R001,H0422,P003,2026-01-24,F2F,10,3
C000233,R001,H0242,P004,2025-05-30,Virtual,6,7
C000234,R001,H0479,P005,2025-11-01,Virtual,13,5
C000235,R001,H0316,P004,2025-11-07,F2F,24,7
C000236,R001,H0496,P001,2025-09-10,F2F,14,0
C000237,R001,H0417,P003,2026-02-17,Virtual,32,3
C000238,R001,H0152,P001,2026-04-15,F2F,20,2
C000239,R002,H0421,P005,2025-11-09,F2F,19,4
C000240,R002,H0329,P003,2026-04-05,F2F,22,4
C000241,R002,H0204,P005,2025-09-19,F2F,32,4
C000242,R002,H0034,P002,2025-09-01,F2F,30,6
C000243,R002,H0403,P004,2026-04-28,Virtual,15,3
C000244,R002,H0186,P001,2026-04-02,Virtual,14,1
C000245,R002,H0141,P001,2025-08-23,F2F,18,5
C000246,R002,H0329,P004,2026-03-21,F2F,20,3
C000247,R002,H0104,P005,2025-07-17,Virtual,11,5
C000248,R002,H0024,P002,2026-03-21,F2F,5,7
C000249,R002,H0064,P005,2026-03-11,F2F,25,6
C000250,R002,H0425,P002,2025-08-11,F2F,35,0
C000251,R002,H0285,P001,2025-05-03,Virtual,12,5
C000252,R002,H0333,P003,2025-05-24,F2F,35,4
C000253,R002,H0024,P003,2026-01-06,F2F,29,3
C000254,R002,H0260,P002,2025-08-23,Virtual,11,0
C000255,R002,H0029,P005,2025-11-04,F2F,17,4
C000256,R002,H0330,P003,2025-06-25,F2F,6,1
C000257,R002,H0403,P002,2026-04-21,F2F,14,6
C000258,R002,H0274,P004,2026-03-07,Virtual,18,1
C000259,R002,H0259,P004,2026-02-05,F2F,34,3
C000260,R002,H0095,P003,2025-05-07,F2F,34,1
C000261,R002,H0285,P002,2025-06-16,F2F,28,1
C000262,R002,H0034,P004,2025-07-29,F2F,32,4
C000263,R002,H0071,P001,2025-05-24,F2F,32,2
C000264,R002,H0071,P005,2025-10-23,Virtual,8,6
C000265,R002,H0095,P003,2025-07-07,F2F,35,2
C000266,R002,H0421,P004,2026-02-27,F2F,30,7
C000267,R002,H0274,P002,2025-11-11,F2F,24,0
C000268,R002,H0143,P005,2026-04-01,F2F,5,8
C000269,R002,H0486,P005,2026-04-04,Virtual,20,5
C000270,R002,H0274,P002,2025-07-20,F2F,32,7
C000271,R002,H0425,P001,2026-01-07,F2F,12,5
C000272,R002,H0183,P004,2025-08-23,F2F,17,3
C000273,R002,H0425,P002,2025-12-14,F2F,7,7
C000274,R002,H0418,P005,2026-01-10,F2F,8,6
C000275,R002,H0113,P002,2025-06-16,F2F,33,8
C000276,R002,H0330,P001,2026-04-03,Virtual,5,5
C000277,R002,H0024,P005,2025-07-24,F2F,9,6
C000278,R002,H0273,P003,2025-11-18,Virtual,19,3
C000279,R002,H0064,P005,2025-11-29,F2F,34,1
C000280,R002,H0274,P004,2026-01-11,F2F,21,0
C000281,R002,H0120,P002,2026-04-02,F2F,21,6
C000282,R002,H0012,P003,2026-03-05,F2F,31,8
C000283,R002,H0029,P005,2025-10-28,F2F,23,6
C000284,R002,H0006,P002,2025-06-24,F2F,17,2
C000285,R002,H0378,P003,2025-05-29,Virtual,13,2
C000286,R002,H0029,P003,2025-06-01,F2F,11,8
C000287,R002,H0260,P004,2025-12-18,F2F,24,8
C000288,R002,H0339,P004,2025-09-06,Virtual,24,7
C000289,R002,H0012,P005,2025-07-30,F2F,10,2
C000290,R002,H0104,P005,2025-05-21,F2F,13,8
C000291,R002,H0113,P002,2025-09-08,F2F,15,7
C000292,R002,H0285,P002,2025-07-18,F2F,24,0
C000293,R002,H0330,P004,2026-04-28,F2F,21,3
C000294,R002,H0034,P002,2026-02-03,F2F,7,5
C000295,R002,H0273,P005,2026-04-08,F2F,19,3
C000296,R002,H0099,P005,2026-03-30,Virtual,15,8
C000297,R002,H0176,P005,2025-06-19,Virtual,35,8
C000298,R002,H0339,P005,2026-04-17,Virtual,5,7
C000299,R002,H0064,P003,2025-06-07,F2F,10,4
C000300,R002,H0273,P002,2025-09-10,F2F,17,7
C000301,R002,H0280,P001,2026-04-10,F2F,22,0
C000302,R002,H0418,P004,2026-01-13,F2F,14,4
C000303,R002,H0425,P004,2025-07-20,Virtual,9,6
C000304,R002,H0280,P005,2026-02-09,Virtual,8,0
C000305,R002,H0144,P002,2026-03-02,F2F,22,8
C000306,R002,H0144,P003,2025-08-22,F2F,11,1
C000307,R002,H0421,P002,2026-02-15,F2F,32,8
C000308,R002,H0378,P003,2025-06-20,Virtual,28,7
C000309,R002,H0012,P001,2025-09-23,F2F,33,3
C000310,R002,H0291,P001,2025-09-04,Virtual,27,6
C000311,R002,H0144,P005,2026-03-27,F2F,31,4
C000312,R002,H0274,P002,2025-06-08,F2F,32,8
C000313,R002,H0344,P004,2025-09-11,F2F,25,2
C000314,R002,H0421,P002,2026-02-26,F2F,9,7
C000315,R002,H0250,P004,2025-11-03,F2F,26,3
C000316,R002,H0012,P001,2026-01-19,Virtual,19,2
C000317,R002,H0323,P001,2026-02-14,Virtual,28,7
C000318,R002,H0064,P003,2026-01-05,Virtual,7,4
C000319,R002,H0495,P002,2025-08-14,F2F,17,7
C000320,R002,H0141,P003,2026-03-29,F2F,8,8
C000321,R002,H0274,P005,2025-09-06,F2F,34,3
C000322,R002,H0095,P001,2025-07-24,Virtual,7,8
C000323,R002,H0071,P001,2025-08-04,Virtual,16,1
C000324,R002,H0421,P005,2025-07-05,Virtual,9,8
C000325,R002,H0330,P001,2026-02-18,Virtual,6,2
C000326,R002,H0280,P001,2025-11-24,F2F,33,4
C000327,R002,H0421,P003,2026-03-07,F2F,32,7
C000328,R002,H0071,P003,2025-11-27,Virtual,30,2
C000329,R002,H0181,P005,2026-04-17,F2F,34,7
C000330,R002,H0298,P001,2025-11-10,F2F,9,1
C000331,R002,H0323,P004,2026-01-23,F2F,31,2
C000332,R002,H0064,P003,2026-03-11,F2F,33,8
C000333,R002,H0330,P002,2026-01-02,Virtual,33,8
C000334,R002,H0069,P005,2026-01-27,F2F,12,7
C000335,R002,H0024,P005,2025-07-08,F2F,20,3
C000336,R002,H0378,P004,2026-03-03,F2F,13,3
C000337,R002,H0024,P005,2025-05-04,F2F,21,0
C000338,R002,H0330,P002,2025-12-05,F2F,13,8
C000339,R002,H0113,P004,2025-10-05,F2F,29,6
C000340,R002,H0273,P002,2026-03-22,F2F,30,1
C000341,R002,H0095,P004,2025-09-12,Virtual,16,1
C000342,R002,H0291,P004,2025-07-29,F2F,19,0
C000343,R002,H0034,P005,2026-04-02,F2F,11,0
C000344,R002,H0113,P003,2025-09-19,F2F,16,6
C000345,R002,H0339,P004,2026-04-26,F2F,34,1
C000346,R002,H0024,P003,2025-07-29,F2F,21,1
C000347,R002,H0204,P005,2025-12-13,F2F,23,7
C000348,R002,H0285,P002,2025-06-29,F2F,7,6
C000349,R002,H0378,P004,2025-09-12,Virtual,14,1
C000350,R002,H0403,P002,2025-10-08,F2F,11,4
C000351,R002,H0186,P003,2026-04-15,Virtual,20,3
C000352,R002,H0012,P004,2025-09-01,F2F,11,3
C000353,R002,H0024,P004,2025-06-24,F2F,34,1
C000354,R002,H0291,P004,2026-01-02,F2F,24,5
C000355,R002,H0113,P004,2025-08-22,Virtual,6,8
C000356,R002,H0285,P002,2025-08-16,F2F,23,1
C000357,R002,H0204,P001,2025-12-28,F2F,16,2
C000358,R002,H0095,P004,2025-08-01,Virtual,23,3
C000359,R002,H0181,P003,2025-07-16,F2F,30,0
C000360,R002,H0104,P002,2025-09-08,F2F,31,1
C000361,R002,H0024,P005,2025-07-02,F2F,32,3
C000362,R002,H0095,P001,2025-10-14,F2F,29,7
C000363,R002,H0421,P005,2025-07-25,F2F,18,6
C000364,R002,H0181,P001,2025-07-22,F2F,12,5
C000365,R002,H0183,P002,2025-12-14,F2F,28,8
C000366,R002,H0095,P004,2025-05-12,Virtual,28,3
C000367,R002,H0333,P005,2025-07-25,F2F,8,1
C000368,R002,H0144,P005,2025-12-29,F2F,5,6
C000369,R002,H0029,P001,2026-03-13,Virtual,7,6
C000370,R002,H0330,P002,2026-04-05,F2F,32,5
C000371,R002,H0403,P001,2026-04-23,Virtual,23,7
C000372,R002,H0012,P005,2025-10-03,F2F,5,8
C000373,R002,H0492,P004,2026-01-07,F2F,14,0
C000374,R002,H0006,P004,2026-03-17,Virtual,21,4
C000375,R002,H0344,P002,2025-09-26,F2F,25,7
C000376,R002,H0339,P002,2025-05-10,Virtual,6,8
C000377,R002,H0104,P004,2025-06-22,F2F,13,2
C000378,R002,H0495,P004,2025-11-17,F2F,22,7
C000379,R002,H0323,P001,2025-09-05,F2F,29,7
C000380,R002,H0492,P001,2025-06-18,Virtual,20,6
C000381,R002,H0176,P004,2026-02-06,F2F,13,7
C000382,R002,H0064,P003,2025-05-27,Virtual,8,3
C000383,R002,H0280,P002,2025-09-02,F2F,6,7
C000384,R002,H0421,P002,2025-06-15,Virtual,10,7
C000385,R002,H0181,P004,2026-03-13,F2F,34,0
C000386,R002,H0403,P005,2026-03-27,Virtual,27,8
C000387,R002,H0144,P001,2025-08-28,F2F,22,5
C000388,R002,H0403,P001,2025-05-21,F2F,27,7
C000389,R002,H0019,P004,2026-01-27,Virtual,19,4
C000390,R002,H0425,P004,2026-01-31,F2F,11,8
C000391,R002,H0012,P003,2025-09-22,F2F,18,5
C000392,R002,H0273,P003,2026-01-23,F2F,6,2
C000393,R002,H0323,P004,2025-05-17,Virtual,8,7
C000394,R002,H0019,P001,2025-05-17,F2F,26,7
C000395,R002,H0181,P002,2025-08-15,F2F,34,1
C000396,R002,H0403,P004,2026-03-12,F2F,21,0
C000397,R002,H0260,P002,2025-08-19,F2F,8,3
C000398,R002,H0344,P005,2026-01-25,Virtual,23,2
C000399,R002,H0064,P001,2025-05-18,F2F,24,0
C000400,R002,H0006,P004,2026-04-19,F2F,34,8
C000401,R002,H0260,P002,2025-12-22,F2F,9,2
C000402,R002,H0071,P002,2026-02-23,Virtual,12,4
C000403,R002,H0176,P004,2025-11-21,Virtual,28,1
C000404,R002,H0029,P003,2025-05-29,F2F,16,6
C000405,R002,H0492,P005,2026-03-20,F2F,6,4
C000406,R002,H0204,P003,2025-12-08,F2F,30,6
C000407,R002,H0486,P002,2025-10-20,F2F,20,0
C000408,R002,H0492,P004,2025-11-19,Virtual,22,8
C000409,R002,H0120,P002,2025-12-07,F2F,26,1
C000410,R002,H0486,P005,2025-11-28,F2F,16,5
C000411,R002,H0418,P002,2025-10-24,F2F,29,4
C000412,R002,H0403,P003,2025-10-27,F2F,24,2
C000413,R002,H0071,P002,2025-06-13,F2F,28,0
C000414,R002,H0204,P003,2025-09-25,F2F,15,1
C000415,R002,H0071,P004,2025-08-11,F2F,6,7
C000416,R002,H0492,P001,2025-11-15,F2F,26,5
C000417,R002,H0176,P003,2026-03-29,F2F,12,6
C000418,R002,H0168,P003,2025-08-10,F2F,22,0
C000419,R002,H0339,P003,2026-01-27,F2F,15,7
C000420,R002,H0186,P005,2025-10-25,F2F,16,4
C000421,R002,H0204,P003,2026-01-12,F2F,30,0
C000422,R002,H0425,P001,2026-02-09,F2F,12,2
C000423,R002,H0323,P002,2025-11-12,Virtual,18,3
C000424,R002,H0024,P002,2026-03-31,Virtual,23,8
C000425,R002,H0071,P001,2025-07-10,F2F,27,8
C000426,R002,H0071,P004,2025-06-04,F2F,10,5
C000427,R002,H0071,P002,2025-05-16,F2F,33,6
C000428,R002,H0344,P002,2025-08-05,F2F,9,2
C000429,R002,H0064,P001,2026-03-10,F2F,24,3
C000430,R002,H0495,P004,2025-06-10,F2F,9,8
C000431,R002,H0259,P003,2025-08-24,F2F,18,0
C000432,R002,H0095,P005,2025-08-13,F2F,10,7
C000433,R002,H0486,P001,2025-11-24,F2F,24,6
C000434,R002,H0204,P002,2025-06-25,F2F,19,0
C000435,R002,H0024,P005,2025-11-15,F2F,11,4
C000436,R002,H0095,P003,2025-09-28,F2F,27,8
C000437,R002,H0176,P002,2026-01-12,F2F,10,8
C000438,R002,H0486,P002,2025-11-28,F2F,19,0
C000439,R002,H0421,P005,2026-02-27,Virtual,33,7
C000440,R002,H0012,P005,2025-10-13,Virtual,27,1
C000441,R002,H0329,P002,2026-04-27,F2F,25,5
C000442,R002,H0019,P001,2026-04-28,F2F,28,8
C000443,R002,H0486,P004,2025-07-27,F2F,23,2
C000444,R002,H0034,P005,2025-07-14,Virtual,29,0
C000445,R002,H0492,P002,2025-08-12,F2F,24,4
C000446,R002,H0113,P003,2026-01-10,F2F,22,0
C000447,R002,H0034,P002,2026-04-03,F2F,19,6
C000448,R002,H0421,P003,2026-02-05,F2F,24,8
C000449,R002,H0143,P003,2025-05-29,F2F,6,2
C000450,R002,H0245,P005,2025-11-30,Virtual,10,4
C000451,R002,H0495,P004,2025-12-20,F2F,34,0
C000452,R002,H0120,P003,2025-10-01,F2F,16,6
C000453,R002,H0143,P004,2025-12-28,Virtual,8,4
C000454,R002,H0186,P003,2026-02-17,F2F,20,4
C000455,R002,H0486,P004,2025-08-08,F2F,8,0
C000456,R002,H0183,P001,2025-10-27,Virtual,5,3
C000457,R002,H0071,P001,2025-06-04,F2F,14,8
C000458,R002,H0486,P003,2025-10-21,F2F,34,7
C000459,R002,H0274,P004,2026-04-13,F2F,22,8
C000460,R002,H0113,P001,2026-02-20,F2F,30,5
C000461,R002,H0113,P003,2025-07-16,F2F,31,0
C000462,R002,H0298,P003,2026-03-07,F2F,10,1
C000463,R002,H0280,P003,2025-11-28,F2F,20,3
C000464,R002,H0104,P002,2025-08-12,F2F,19,8
C000465,R002,H0006,P002,2026-01-03,Virtual,11,5
C000466,R002,H0274,P003,2025-06-20,Virtual,11,0
C000467,R002,H0095,P004,2025-05-23,F2F,15,7
C000468,R002,H0064,P005,2025-10-07,Virtual,15,3
C000469,R002,H0034,P002,2025-09-18,F2F,5,8
C000470,R002,H0344,P003,2026-04-26,F2F,23,3
C000471,R002,H0113,P002,2025-10-07,F2F,22,7
C000472,R002,H0204,P003,2025-05-15,F2F,33,0
C000473,R002,H0330,P003,2025-12-05,F2F,10,7
C000474,R002,H0273,P001,2026-03-12,F2F,34,5
C000475,R002,H0330,P004,2025-12-30,F2F,16,7
C000476,R002,H0495,P001,2025-10-26,Virtual,21,1
